product_id,current_price,recommended_price,price_change_pct,predicted_demand_current,predicted_demand_optimized,predicted_revenue_current,predicted_revenue_optimized,predicted_margin_current,predicted_margin_optimized,estimated_margin_uplift,high_demand_probability,pricing_segment_id,pricing_segment,pricing_action,business_recommendation,objective
SKU-14629,137.90372719016037,165.48447262819244,0.19999999999999996,118.15203094482422,92.6714096069336,16293.605442378424,15335.679346514611,5087.401050181746,6546.200663298044,1458.7996131162981,0.8731712102890015,3,Promotion-Sensitive,Increase Price,Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommendation cannot fall below cost plus a 5% minimum markup.,Maximize Margin
SKU-12757,191.10327099668723,229.32392519602467,0.2,128.0912322998047,102.75285339355469,24478.653478489192,23563.687665301626,3144.2068638196556,6449.516571226668,3305.3097074070124,0.9254121780395508,1,Core / Stable Demand,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely. The recommendation cannot fall below cost plus a 5% minimum markup.",Maximize Margin
SKU-06573,20.900419687026975,25.08050362443237,0.20000000000000004,61.39162063598633,52.71140670776367,1283.11063655886,1322.0286269829955,37.3721544628795,252.42617796762707,215.05402350474756,0.0037493351846933365,0,Value / Low Velocity,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely. The recommendation cannot fall below cost plus a 5% minimum markup.",Maximize Margin
SKU-10634,23.967331199580364,28.760797439496436,0.19999999999999993,44.7171745300293,33.24552917480469,1071.7513322706516,956.1679303654267,218.1939860762163,321.58030372055134,103.38631764433504,0.0001038549016811885,0,Value / Low Velocity,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely. The recommendation cannot fall below cost plus a 5% minimum markup.",Maximize Margin
SKU-07873,204.6421787205333,245.57061446463996,0.19999999999999996,194.8856658935547,160.4971466064453,39881.827269858964,39413.38291196618,6576.710728793234,11985.115431505183,5408.404702711949,0.9978852868080139,1,Core / Stable Demand,Increase Price,Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommendation cannot fall below cost plus a 5% minimum markup.,Maximize Margin
SKU-04090,248.9857660611169,298.78291927334027,0.2,77.88916778564453,70.09595489501953,19393.29410897157,20943.474032786322,6518.5107248206195,9356.879118044877,2838.3683932242575,0.006025360897183418,0,Value / Low Velocity,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely.",Maximize Margin
SKU-03653,188.52204542110096,226.22645450532113,0.1999999999999999,173.20538330078125,140.21115112304688,32653.033137809085,31719.47160067667,7855.8365966808515,11645.941520966131,3790.1049242852796,0.9963411688804626,3,Promotion-Sensitive,Increase Price,Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommendation cannot fall below cost plus a 5% minimum markup.,Maximize Margin
SKU-06955,125.76381876592686,150.9165825191122,0.19999999999999987,110.67212677001953,94.75655364990234,13918.549293544418,14300.33524813217,4562.704094286465,6289.9384713005265,1727.2343770140615,0.8288647532463074,2,Premium / High Value,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely. The recommendation cannot fall below cost plus a 5% minimum markup.",Maximize Margin
SKU-04439,216.25822939120695,259.50987526944834,0.2,108.3356704711914,97.77005004882812,23428.480276009115,25372.29349325911,8690.212592496266,12071.400419142235,3381.18782664597,0.6265962719917297,3,Promotion-Sensitive,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely.",Maximize Margin
SKU-09054,158.65132471281203,163.93970220323908,0.033333333333333236,84.99740600585938,80.95903015136719,13484.951059982315,13272.39929367819,7456.146498495336,7530.033812118933,73.88731362359704,0.010606275871396065,3,Promotion-Sensitive,Maintain Price,Maintain the current price because nearby alternatives do not create a material improvement in the selected objective.,Maximize Margin
SKU-07729,25.67526601014282,28.772515799880786,0.12063165337856364,77.2869644165039,63.04560852050781,1984.3633705101804,1813.9807672694096,616.4946031473095,698.1636373605814,81.66903421327197,0.010067973285913467,3,Promotion-Sensitive,Increase Price,Increase price by approximately 12.1%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommendation cannot fall below cost plus a 5% minimum markup.,Maximize Margin
SKU-00745,98.76411262313225,114.40176378846151,0.1583333333333332,47.695274353027344,41.909461975097656,4710.581447793584,4794.516369376632,2545.5859149244798,2892.1518439218185,346.5659289973387,0.00012917452841065824,3,Promotion-Sensitive,Increase Price,"Increase price by approximately 15.8%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely.",Maximize Margin
SKU-05354,30.287253280995817,36.34470393719498,0.19999999999999996,57.093772888183594,45.92252731323242,1729.2135602320686,1669.0406592471822,565.2849032759965,732.8519501142196,167.56704683822306,0.00011507473391247913,3,Promotion-Sensitive,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely. The recommendation cannot fall below cost plus a 5% minimum markup.",Maximize Margin
SKU-00606,144.53856912490957,161.40140218948233,0.11666666666666646,79.73613739013672,66.21501922607422,11524.947205917562,10687.19694909191,4315.838048634551,4700.560060515838,384.72201188128656,0.03700306639075279,3,Promotion-Sensitive,Increase Price,"Increase price by approximately 11.7%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely.",Maximize Margin
SKU-14741,23.73744334461014,28.484932013532166,0.2,101.26971435546875,72.20951843261719,2403.8841070377916,2056.883223282998,418.1398316747845,640.9649621632482,222.82513048846369,0.3799459934234619,3,Promotion-Sensitive,Increase Price,"Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective. The recommended price remains more than 10% above the competitor reference, so monitor conversion closely. The recommendation cannot fall below cost plus a 5% minimum markup.",Maximize Margin
SKU-11278,50.39855340278272,49.97856545775952,-0.00833333333333344,55.52104949951172,56.46675491333008,2798.180578179684,2822.1274066231313,1662.233822529035,1666.8317552597373,4.597932730702269,0.0032675473485141993,3,Promotion-Sensitive,Maintain Price,Maintain the current price because nearby alternatives do not create a material improvement in the selected objective.,Maximize Margin
SKU-05298,234.42316983400391,281.30780380080466,0.19999999999999984,96.10346221923828,83.13323211669922,22528.878245456275,23386.026949611176,8665.8312639695,11393.95220075848,2728.1209367889805,0.3004583418369293,1,Core / Stable Demand,Increase Price,Increase price by approximately 20.0%. The model expects sufficient demand to support a higher price under the 'Maximize Margin' objective.,Maximize Margin
